_job_featured_image,_job_title,_job_featured,_job_filled,_job_urgent,_job_description,_job_category,_job_type,_job_tag,_job_expiry_date,_job_gender,_job_apply_type,_job_apply_url,_job_apply_email,_job_salary_type,_job_salary,_job_max_salary,_job_experience,_job_career_level,_job_qualification,_job_video_url,_job_photos,_job_application_deadline_date,_job_address,_job_location,_job_map_location
,Asistente Ejecutivo(a),0,0,0,"At Propio Language Services we are closing the language gap by connecting people anywhere and anytime through innovative technology and solutions.

Founded in 1998 Propio Language Services provides critical interpreting and translation services that improve the quality of life with the communities we engage in. We do that by providing both remote and on-site services in more than 350 languages, for over 12,000 clients with a diverse and highly experienced staff, and over 15,000 contract interpreters.

Quality interpretation is critical to our shared success, and it is only possible by bringing in the best interpreters in the industry.

We currently have a need for Remote Contract Spanish Interpreters who have a sincere desire to use their language skills to help people and are passionate about what they do.

Contract Responsibilities:
Provides consecutive, first-person interpretation.
Follows interpreter protocols and procedures as required by Propio L.S. clients.
Follows all Propio L.S. policies and procedures related to information confidentiality and interpreter ethics.
Continuously improves vocabulary and specialized subject matter knowledge, as required for various clients, such as medical, legal, social services, etc.

Requirements:
Submission of updated Resume in English at time of Application.
Completion of English Language Proficiency with a language rating of “technical proficiency” (3 or higher on the nationally recognized ILR scale).
Successful completion of a Mock oral interpretation session. Interpreters are evaluated against 24 quality standards and must attain a passing score.
Completion of Propio's online Medical Terminology, Anatomy and Physiology Assessment, with a passing score.
A full Background Check and Security Screen.
A signed commitment to confidentiality, adherence to ethics, and HIPAA compliance.
Preferred Qualifications:
1+ years of interpreting experience.
Propio’s evaluation process conforms to interpreting standards defined by:
National Council on Interpreting in Health Care (NCIHC)
International Medical Interpreters Association (IMIA)
California Healthcare Interpreters Association (CHIA)
Diversity creates a healthier atmosphere: Propio is an Equal Employment Opportunity/Affirmative Action employers and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.
FX7DPXc67F",Human Resources,contract,,,,external,https://cr.indeed.com/rc/clk?jk=9dc1a949b60f7c7f&bb=ueWWVqDTyxmj-nQwmPqSUbnfkugL4uTM7QrT3w86yXnU-ix9vgoWDyzcMMqGcueHedn7T47ieqeKsInEy6sjmJvHnN6eOwREZo5Gn2SHOM_bvTrtGvLPAQ%3D%3D&xkcb=SoA067M3rChmZgwyXx0LbzkdCdPP&fccid=9e215d88a6b33622&vjs=3,,,,,,,associate,,,,"San José, Provincia de San José","San José, Provincia de San José",
,Asistente Administrativo,0,0,0,"At Propio Language Services we are closing the language gap by connecting people anywhere and anytime through innovative technology and solutions.

Founded in 1998 Propio Language Services provides critical interpreting and translation services that improve the quality of life with the communities we engage in. We do that by providing both remote and on-site services in more than 350 languages, for over 12,000 clients with a diverse and highly experienced staff, and over 15,000 contract interpreters.

Quality interpretation is critical to our shared success, and it is only possible by bringing in the best interpreters in the industry.

We currently have a need for Remote Contract Spanish Interpreters who have a sincere desire to use their language skills to help people and are passionate about what they do.

Contract Responsibilities:
Provides consecutive, first-person interpretation.
Follows interpreter protocols and procedures as required by Propio L.S. clients.
Follows all Propio L.S. policies and procedures related to information confidentiality and interpreter ethics.
Continuously improves vocabulary and specialized subject matter knowledge, as required for various clients, such as medical, legal, social services, etc.

Requirements:
Submission of updated Resume in English at time of Application.
Completion of English Language Proficiency with a language rating of “technical proficiency” (3 or higher on the nationally recognized ILR scale).
Successful completion of a Mock oral interpretation session. Interpreters are evaluated against 24 quality standards and must attain a passing score.
Completion of Propio's online Medical Terminology, Anatomy and Physiology Assessment, with a passing score.
A full Background Check and Security Screen.
A signed commitment to confidentiality, adherence to ethics, and HIPAA compliance.
Preferred Qualifications:
1+ years of interpreting experience.
Propio’s evaluation process conforms to interpreting standards defined by:
National Council on Interpreting in Health Care (NCIHC)
International Medical Interpreters Association (IMIA)
California Healthcare Interpreters Association (CHIA)
Diversity creates a healthier atmosphere: Propio is an Equal Employment Opportunity/Affirmative Action employers and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.
FX7DPXc67F",Human Resources,contract,,,,external,https://cr.indeed.com/rc/clk?jk=020b0fd5e20b8784&bb=ueWWVqDTyxmj-nQwmPqSUXWUhTGsF_vTUE9_tkElqMdRsSFIROlez8KQVLuCe4PaFtThMLuZy27DkCuXf8K08u9tB1nzV6hwDTIkD-UzwYZ2VcWAK9hKUASqsaiBok2x&xkcb=SoCA67M3rChmZgwyXx0KbzkdCdPP&fccid=1544766d4c2915b0&vjs=3,,,,,,,associate,,,,"San José, Provincia de San José","San José, Provincia de San José",
,Personal para Producción - Turno B - Heredia,0,0,0,"Diversidad - Innovación - Cuidado - Colaboración global - Espíritu ganador - Alto rendimiento

En nuestra empresa, valoramos la diversidad y creemos que es nuestra mayor fortaleza. Estamos comprometidos a empoderar a las mujeres, apoyar a la comunidad LGBTQ+ y crear oportunidades para personas con discapacidades. Creemos que tu diversidad enriquece nuestro entorno laboral. Como empleador que ofrece igualdad de oportunidades, damos la bienvenida a las solicitudes de todos los candidatos calificados, independientemente de su origen. Además, contamos con una Política de Igualdad de Género que refleja nuestro compromiso con la equidad y la igualdad en el lugar de trabajo.

Acerca de este puesto:
Operar maquinas o ejecutar operaciones manuales para obtener dispositivos médicos de alta calidad en el tiempo estipulado.

Responsabilidades:
Monitorear, activar y supervisar el funcionamiento de la maquinaria, ejecutar las operaciones manuales bajo su responsabilidad para obtener los productos deseados en calidad, cantidad y tiempo
Comunicar inmediatamente cualquier anomalía o incidente al supervisor (a la supervisión) relacionada con el material o los equipos.

Requisitos:
Sexto grado como educación mínima
Ser mayor de 18 años.
Documentos con vigencia al día.
Experiencia en industria médica (deseable)
Conocimientos en paquete Office (deseable)
Disponibilidad para laborar en el turno de la tarde, de Lunes a Viernes de 03:30pm a 10:00pm, y Sábados de 07:00am a 02:30pm.

Si se le contacta y se cita a pruebas, debe presentar los siguientes documentos:
El CV actualizado.
Fotocopia de la cédula de identidad.
Hoja de delincuencia vigente.
Original y Fotocopia del último título académico obtenido y/o constancia de estudios. (Sexto grado, Noveno y/o Bachillerato). El nombre en el título debe aparecer igual que en la cédula de identidad.
En caso de ser una persona extranjera, adjuntar copia y presentar original del carné del seguro social y la copia de la cédula de residencia.
En caso de utilizar anteojos y se les cite a pruebas, favor traerlos ya que los va a requerir para el proceso.

Nota: esta plaza estará abierta por 2 meses, se les estará contactando conforme van aplicando en el orden correspondiente.

Requisition ID: 596113

Como líder en ciencia médica durante más de 40 años, tenemos el compromiso de resolver los desafíos que más importan, unidos(as) por un profundo cuidado de la vida humana. Nuestra misión de avanzar en la ciencia para la vida consiste en transformar vidas a través de soluciones médicas innovadoras que mejoren la vida de los y las pacientes, creen valor para nuestros (as) clientes y apoyen a nuestro personal y las comunidades en las que operamos. Ahora más que nunca, tenemos la responsabilidad de aplicar esos valores a todo lo que hacemos, como empresa global y como ciudadano corporativo global.

Por lo tanto, elegir una carrera con Boston Scientific (NYSE: BSX) no es solo un negocio, es personal. Y si te orientas a la solución de problemas, con imaginación, determinación y espíritu para marcar una diferencia significativa para las personas de todo el mundo, ¡te animamos a que te postules!

Beneficios • Integración vida-trabajo • Comunidad • Crecimiento profesional

En Boston Scientific, encontrará una cultura colaborativa impulsada por una pasión por la innovación que nos mantiene conectados en el nivel más esencial. Con determinación, imaginación y un profundo cuidado por la vida humana, estamos resolviendo algunos de los desafíos más importantes de la industria de ciencias de la salud. Juntos, somos un equipo global comprometido a marcar la diferencia en la vida de las personas en todo el mundo. Este es un lugar donde puedes encontrar una carrera con un propósito significativo: ¡mejorar vidas a través de tu trabajo!",IT/Software Development,,,,,external,https://cr.indeed.com/rc/clk?jk=c1805b48aeeef78b&bb=ueWWVqDTyxmj-nQwmPqSUdc-5StCE5Q8uHbTUlx1PWerhHliLebXnqheYctkth44umuqtK6T8558DJQSFTd7NSq8skeMH-2JoxgJ1yX9zD9p48U99KUawA%3D%3D&xkcb=SoAd67M3rChmZgwyXx0JbzkdCdPP&fccid=d13187a50c252e33&vjs=3,,,,,5+ years,senior,bachelor,,,,"Heredia, Provincia de Heredia","Heredia, Provincia de Heredia",
,AUXILIAR DE BODEGA,0,0,0,"Fecha: 14 oct. 2025
Ubicación: San José, Provincia de San José., CR
Empresa: GRUMA
Generales
AUXILIAR DE BODEGA",Design/Creative,,,,,external,https://cr.indeed.com/rc/clk?jk=99118675afc36b0c&bb=ueWWVqDTyxmj-nQwmPqSUaIQzIGGsgG5bEStAAqxkvdBX4uZEknO99Q7kbnE1jPqLbH_HQHq08LWPMqHhyjLfRdWovBQYQwM9He4iljHw6W4XdEqSBwhmvgXCY_QPVUv&xkcb=SoCp67M3rChmZgwyXx0IbzkdCdPP&fccid=1c37451ca7247bd8&vjs=3,,,,,,,,,,,"San José, Provincia de San José","San José, Provincia de San José",
,Auxiliar General de Produccion (T1- 6 am a 2 pm - L a S),0,0,0,"Griffith Foods is the caring, creative product development partner helping food companies meet the evolving needs of consumers while sustaining the planet. As a family business founded in 1919 and headquartered in Alsip, Illinois USA, Griffith Foods is known for true, collaborative innovation guided by their Purpose of “We Blend Care and Creativity to Nourish the World”. The company’s product capabilities range from seasonings and marinades to coating systems and sauces that are better for people and better for the planet. For more information, visit www.griffithfoods.com .
OBJETIVO GENERAL DEL PUESTO
Asiste en diversas tareas del proceso productivo de acuerdo con el programa de producción, colaborando con la correcta operación de los equipos, el armado de materiales, limpieza y orden del área, cumpliendo con los protocolos establecidos.
RESPONSABILIDADES Y DEBERES
Asegurar el desarme, armado de líneas, purgas y/o revisión o cambios empaques para el correcto trasiego. Al ejecutar los procedimientos de limpieza y desinfección de acuerdo con el procedimiento del área.
Colaborar en los set-ups de cada equipo de acuerdo con el programa de producción en el lavado de piezas, tuberías, orden y limpieza del área. Incluye detectores de metales.
Armado y alisto de material de empaque para usar en proceso.
Asegurar la correcta ejecución de todos los protocolos y estándares definidos para el proceso.
Cumplir con el correcto empaque, embalaje y peso de los productos.
Garantizar la calidad en la fuente.
Cumplir con los BPM.
Revisar periódicamente filtros y mallas.
Llenar correctamente todos los registros del proceso.
Participar en la implementación del programa de mejora continua.
Fomentar la Cultura de Ambiente, Salud y Seguridad.
Seguir instrucciones específicas según el área asignada.
Colaborar en la limpieza semanal de la planta.
Ayudar en el inventario de proceso
Ayudar en la Limpieza Profunda Mensual
Fungir como operador I en las tareas correspondientes al rol cuando el líder o Supervisor de turno se lo solicite, siempre y cuando tenga completo su plan de capacitación en esos puestos en específico.
Comunicación efectiva con supervisores y operarios para asegurar continuidad operativa ante paros o desvíos del proceso.
Reportar desviaciones o anomalías al equipo de calidad o supervisión inmediatamente.
Manipular herramientas y equipos bajo estándares de seguridad ocupacional y ergonomía.
Asegurar la correcta disposición de residuos de acuerdo con el tipo de operación (bodega de reciclaje, residuos peligrosos, etc.).
CONOCIMIENTO Y EXPERIENCIA
EDUCACIÓN
Primaria Completa.
Deseable: Noveno Año.
EXPERIENCIA
De 0 a 2 años de experiencia en puestos similares.
Contamos con paquete de compensación competitivo con el mercado",IT/Software Development,,,,,external,https://cr.indeed.com/rc/clk?jk=6353cdb4f2333924&bb=ueWWVqDTyxmj-nQwmPqSUdM0mfKIliqytTnNLYCK3pD_UXV8W_whMAND9EJCyOgXbH8TUQzg8aZAFYl2yFyJenkK13tKLERFpg9M6z9c_X3nKaA0b0QVoDUgHuRZU7Bq&xkcb=SoAn67M3rChmZgwyXx0PbzkdCdPP&fccid=1cd7bac8475b31c6&vjs=3,,,,,2+ years,junior,master,,,,"San José, Provincia de San José","San José, Provincia de San José",
,Costa Rica Customer Service Jobs,0,0,0,"Griffith Foods is the caring, creative product development partner helping food companies meet the evolving needs of consumers while sustaining the planet. As a family business founded in 1919 and headquartered in Alsip, Illinois USA, Griffith Foods is known for true, collaborative innovation guided by their Purpose of “We Blend Care and Creativity to Nourish the World”. The company’s product capabilities range from seasonings and marinades to coating systems and sauces that are better for people and better for the planet. For more information, visit www.griffithfoods.com .
OBJETIVO GENERAL DEL PUESTO
Asiste en diversas tareas del proceso productivo de acuerdo con el programa de producción, colaborando con la correcta operación de los equipos, el armado de materiales, limpieza y orden del área, cumpliendo con los protocolos establecidos.
RESPONSABILIDADES Y DEBERES
Asegurar el desarme, armado de líneas, purgas y/o revisión o cambios empaques para el correcto trasiego. Al ejecutar los procedimientos de limpieza y desinfección de acuerdo con el procedimiento del área.
Colaborar en los set-ups de cada equipo de acuerdo con el programa de producción en el lavado de piezas, tuberías, orden y limpieza del área. Incluye detectores de metales.
Armado y alisto de material de empaque para usar en proceso.
Asegurar la correcta ejecución de todos los protocolos y estándares definidos para el proceso.
Cumplir con el correcto empaque, embalaje y peso de los productos.
Garantizar la calidad en la fuente.
Cumplir con los BPM.
Revisar periódicamente filtros y mallas.
Llenar correctamente todos los registros del proceso.
Participar en la implementación del programa de mejora continua.
Fomentar la Cultura de Ambiente, Salud y Seguridad.
Seguir instrucciones específicas según el área asignada.
Colaborar en la limpieza semanal de la planta.
Ayudar en el inventario de proceso
Ayudar en la Limpieza Profunda Mensual
Fungir como operador I en las tareas correspondientes al rol cuando el líder o Supervisor de turno se lo solicite, siempre y cuando tenga completo su plan de capacitación en esos puestos en específico.
Comunicación efectiva con supervisores y operarios para asegurar continuidad operativa ante paros o desvíos del proceso.
Reportar desviaciones o anomalías al equipo de calidad o supervisión inmediatamente.
Manipular herramientas y equipos bajo estándares de seguridad ocupacional y ergonomía.
Asegurar la correcta disposición de residuos de acuerdo con el tipo de operación (bodega de reciclaje, residuos peligrosos, etc.).
CONOCIMIENTO Y EXPERIENCIA
EDUCACIÓN
Primaria Completa.
Deseable: Noveno Año.
EXPERIENCIA
De 0 a 2 años de experiencia en puestos similares.
Contamos con paquete de compensación competitivo con el mercado",IT/Software Development,,,,,external,https://cr.indeed.com/rc/clk?jk=af32c21aec80a519&bb=ueWWVqDTyxmj-nQwmPqSUULZ_1FjkgdTjzfMBHgvdOydccLQyWAcF_yujGR6KazEMA4Kf-SooJNocy7stLUPQgMxcFeAqiX7LaOra7V6azlyqmjEdsBPxJuw4qQ4bcNw&xkcb=SoCT67M3rChmZgwyXx0ObzkdCdPP&fccid=773041d0d31c442a&vjs=3,,,,,2+ years,junior,master,,,,Costa Rica,Costa Rica,
,Operario de Producción Abbott B31-Turno B,0,0,0,"ROL PRINCIPAL DEL PUESTO
Ejecución de procedimientos y labores requeridas para la producción de dispositivos médicos incluyendo áreas como recibo y preparación de materiales, procesos de manufactura, prueba e inspección de productos, entre otras actividades.
PRINCIPALES RESPONSABILIDADES
Cumplir con los requerimientos de certificación y entrenamiento para el área de producción asignada.
Cumplimientos de las normas de seguridad para las tareas que se ejecuten.
Participar activamente de las actividades de implementación y mantenimiento del Sistema de Calidad de ABBOTT, garantizando el cumplimiento de los requisitos aplicables incluyendo GMP’s, GDP’s, limpieza de linea.
Ejecución de las tareas de producción del área asignada según los procedimientos de producción y cumpliendo los requerimientos de productividad definidos.
Cumplir con los requerimientos de inspección, según apliquen, de acuerdo a los procedimientos para los que fue entrenado.
Reparar los productos no conformes, de acuerdo con las especificaciones establecidas.
Ejecutar y reportar las actividades de su área, respondiendo por la calidad, el tiempo, la confiabilidad y el desempeño de servicios e informaciones generadas, atendiendo a las necesidades de los clientes internos / externos.
Cumplir con los requerimientos de documentación y trazabilidad para los procesos de producción asignado.
Apoyar y/o ejecutar procesos de entrenamiento y certificación de personal según los procedimientos establecidos, en operaciones de su área
Requisitos:
Educación
Primaria Completa
Experiencia/Formación
Habilidad para efectuar los procesos para los que va a ser contratado.
Capacidad para leer, entender y ejecutar procedimientos.
Preferible: Con experiencia en manufactura / No Indispensable
Ser mayor de edad
Cualidades preferibles
Cursando estudios de educación secundaria",IT/Software Development,internship,,,,external,https://cr.indeed.com/rc/clk?jk=3a7982db210123e1&bb=ueWWVqDTyxmj-nQwmPqSUXm1Nd4lojOmJBTPrXct-vMXZQPKLCFdXXjQ92TZOo2F-A94C1f3-hbad8nyS6Gx4zLS8-9U0q-ftvt5CS9lIgmt9iq6Uj4FZQ%3D%3D&xkcb=SoAO67M3rChmZgwyXx0NbzkdCdPP&fccid=77426fa86bb11d7c&vjs=3,,,,,5+ years,senior,high_school,,,,"Alajuela, Provincia de Alajuela","Alajuela, Provincia de Alajuela",
